Pope Francis,Citations
ncronline.org,22
bbc.co.uk,14
lanacion.com.ar,14
theguardian.com,13
vatican.va,11
news.va,9
huffingtonpost.com,8
nytimes.com,8
en.radiovaticana.va,8
reuters.com,7
catholicnewsagency.com,7
lifesitenews.com,7
vaticaninsider.lastampa.it,6
telegraph.co.uk,6
cnn.com,5
perfil.com,5
chiesa.espresso.repubblica.it,5
catholicherald.co.uk,4
nbcnews.com,4
catholicnews.com,4
washingtonpost.com,4
celam.org,4
aljazeera.com,4
consortiumnews.com,4
latimes.com,3
independent.co.uk,3
ncregister.com,3
nydailynews.com,3
npr.org,3
bloomberg.com,3
tikkun.org,2
books.google.com,2
noticias.terra.com.ar,2
cbc.ca,2
catholicculture.org,2
buzzfeed.com,2
sanlorenzo.com.ar,2
jesuiten.org,2
abcnews.com,2
wedvickofjarlsby.org,2
30giorni.it,2
time.com,2
aica.org,2
catholic.org,2
jesuit.org,2
firstthings.com,2
el-nacional.com,2
dailymail.co.uk,2
contenidos2.clarin.com,2
corriere.it,2
religionnews.com,2
pagina12.com.ar,2
buenosairesherald.com,2
nj.com,2
breitbart.com,2
patheos.com,2
ourdailythread.org,2
asianews.it,2
catholic-hierarchy.org,2
acronyms.thefreedictionary.com,1
healthland.time.com,1
washingtontimes.com,1
site.ebrary.com,1
catholicsun.org,1
derf.com.ar,1
freethinker.co.uk,1
theatlantic.com,1
facultades-smiguel.org.ar,1
lifenews.com,1
euronews.com,1
edant.clarin.com,1
temas.cl,1
maltatoday.com.mt,1
jornada.unam.mx,1
nationalreview.com,1
timesofindia.indiatimes.com,1
afp.com,1
lasegunda.com,1
wpolityce.pl,1
www2.fiu.edu,1
diario.latercera.com,1
jta.org,1
skynews.com.au,1
press.catholica.va,1
zenit.org,1
mercedesya.com.ar,1
clarin.com,1
losandes.com.ar,1
poy.time.com,1
inkunabeln.ub.uni-koeln.de,1
internacional.elpais.com,1
advocate.com,1
upi.com,1
nationalcatholicreporter.org,1
foxnews.com,1
26noticias.com.ar,1
ndl.go.jp,1
jpost.com,1
neurope.eu,1
lastampa.it,1
sanjosedeltalar.com.ar,1
usnews.com,1
americamagazine.org,1
augsburger-allgemeine.de,1
catholicmoraltheology.com,1
baltimorenewsjournal.com,1
pbs.org,1
foolishnesstotheworld.wordpress.com,1
ethikapolitika.org,1
britannica.com,1
deutschlandfunk.de,1
wdtprs.com,1
clrforum.org,1
dialnet.unirioja.es,1
catholicworldreport.com,1
articles.chicagotribune.com,1
aecrc.org,1
jmgarciaiii.blogspot.com,1
lineacapital.com.ar,1
cbsnews.com,1
newyorker.com,1
ft-ci.org,1
madridactual.es,1
risu.org.ua,1
dieter-philippi.de,1
sankt-georgen.de,1
huffingtonpost.co.uk,1
ellitoral.com,1
foxnewsinsider.com,1
thereseoflisieux.org,1
catholic-sf.org,1
csmonitor.com,1
